"","logFC","AveExpr","t","P.Value","adj.P.Val","B","1st_AVG","2nd_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE","dna_meth"
"cg13890324",-0.141743485732192,0.637527696396899,-11.8758131584941,3.92468067386846e-06,0.0172565284226891,4.88829450798589,0.708399439262996,0.566655953530803,-0.141743485732192,"Y",7194072,"F","II","PRKY","Body","opensea","Body-opensea","","","","Hypo"
"cg15153914",0.103615900812028,0.301988186740814,11.6786500361746,4.42444937320854e-06,0.0172565284226891,4.75913935159997,0.2501802363348,0.353796137146828,0.103615900812028,"20",44563668,"R","I","PCIF1","5'UTR","island","5'UTR-island","chr20:44562892-44564220","rs560442635","7","Hyper"
"cg03184290",-0.108812911710391,0.311562306994546,-11.4105956793854,5.22304466331857e-06,0.0175666650445665,4.58008723756302,0.365968762849742,0.25715585113935,-0.108812911710391,"4",111550666,"R","I","PITX2","Body","shore","Body-shore","chr4:111549879-111550203","rs138963131","23","Hypo"
"cg10096454",0.107809100539384,0.530176944203776,10.9221445873495,7.13275669697767e-06,0.0182540402902948,4.2431013990582,0.476272393934084,0.584081494473468,0.107809100539384,"10",103880868,"R","II","LDB1","TSS1500","shore","TSS1500-shore","chr10:103879633-103880628","","","Hyper"
"cg14505657",-0.102606157435337,0.502771679995984,-10.4854554085287,9.52609487325069e-06,0.0182540402902948,3.92942592182615,0.554074758713653,0.451468601278316,-0.102606157435337,"8",92623494,"F","II","","IGR","opensea","IGR-opensea","","rs186569751;rs859879","0;1","Hypo"
"cg20113820",0.100845839380207,0.641750089395073,10.4700338801047,9.6258021320252e-06,0.0182540402902948,3.91812467816788,0.591327169704969,0.692173009085176,0.100845839380207,"8",1765074,"F","II","MIR596","TSS1500","island","TSS1500-island","chr8:1764328-1765171","rs548465196;rs535013726;rs111609981","10;44;47","Hyper"
"cg02083805",-0.117468320159583,0.602386586192025,-10.1687162218556,1.18302657929806e-05,0.0184564722689089,3.69413209969753,0.661120746271817,0.543652426112234,-0.117468320159583,"17",60113197,"F","II","MED13","Body","opensea","Body-opensea","","rs532296669","45","Hypo"
"cg18977839",-0.114731092031421,0.317416167808659,-9.82954006825378,1.50189458201311e-05,0.018865146024453,3.43451621866082,0.374781713824369,0.260050621792949,-0.11473109203142,"1",937409,"F","II","","IGR","island","IGR-island","chr1:933387-937410","rs111758243","23","Hypo"
"cg04021548",0.107556348560563,0.626067289270988,9.48564648094593,1.92734025056708e-05,0.0197327407038755,3.16278941017169,0.572289114990707,0.67984546355127,0.107556348560563,"Y",16634027,"R","II","NLGN4Y","TSS1500","shore","TSS1500-shore","chrY:16635739-16636047","","","Hyper"
"cg18857647",-0.120520205586932,0.465183003334924,-8.33997193436144,4.69714648642662e-05,0.0240086573765695,2.18960619842423,0.52544310612839,0.404922900541458,-0.120520205586932,"11",46321235,"R","II","CREB3L1","Body","shelf","Body-shelf","chr11:46316875-46317485","rs548376810;rs11038856","18;2","Hypo"
"cg16389371",0.108926363908974,0.724047520349519,7.85302220620315,7.07669989432966e-05,0.0259034595990803,1.74084884750864,0.669584338395032,0.778510702304006,0.108926363908974,"1",153412246,"R","II","S100A7L2","Body","opensea","Body-opensea","","rs140842119;rs546296739;rs370388116;rs576676096","50;38;29;27","Hyper"
"cg22556943",0.108536758359886,0.391812623035636,7.73572144226272,7.83509733492163e-05,0.0261270683509828,1.62931535473615,0.337544243855693,0.446081002215578,0.108536758359885,"4",15341149,"F","II","C1QTNF7","TSS1500","opensea","TSS1500-opensea","","","","Hyper"
"cg00782690",0.100357973090209,0.482210749538443,7.43848575529219,0.000101983283342573,0.0278210606591926,1.34043251661448,0.432031762993339,0.532389736083548,0.100357973090209,"2",171822118,"F","II","GORASP2","Body","opensea","Body-opensea","","rs549821325;rs28499279;rs187443468","0;1;14","Hyper"
"cg05987705",-0.103607863040492,0.777463445516703,-7.40411795591655,0.000105195903753073,0.0279058884888886,1.30643741098253,0.829267377036949,0.725659513996457,-0.103607863040492,"6",138204169,"R","II","TNFAIP3","3'UTR","opensea","3'UTR-opensea","","","","Hypo"
"cg27368331",0.102911495727443,0.566233907623144,7.33727965848551,0.000111772824752176,0.0282737606616681,1.23996439230703,0.514778159759422,0.617689655486865,0.102911495727443,"Y",8505900,"R","II","","IGR","opensea","IGR-opensea","","","","Hyper"
"cg04632779",-0.115877029249002,0.586998946582927,-7.23197417989068,0.00012308776629038,0.0286458808557163,1.13426035402704,0.644937461207428,0.529060431958425,-0.115877029249002,"21",26212809,"F","I","LOC339622","TSS200","opensea","TSS200-opensea","","","","Hypo"
"cg09191731",0.114901964525527,0.355529712242669,6.78040122058512,0.00018850341802357,0.0315672794293974,0.667015520394648,0.298078729979906,0.412980694505433,0.114901964525527,"16",22825046,"R","II","HS3ST2","TSS1500","island","TSS1500-island","chr16:22824616-22826459","","","Hyper"
"cg13762777",0.133924396723688,0.840417162876174,6.44706723893031,0.000261823261785402,0.0339265331277002,0.306905146035883,0.773454964514329,0.907379361238018,0.133924396723688,"2",42510014,"F","II","EML4","Body","opensea","Body-opensea","","rs143102568;rs573955552;rs6736913;rs553694963;rs138490423;rs139932221;rs191981255","0;1;4;8;20;24;47","Hyper"
"cg02730008",0.108472312116341,0.638949753803127,6.37462183175807,0.000281665895546126,0.0346400466664862,0.226857111630474,0.584713597744956,0.693185909861298,0.108472312116341,"Y",15814320,"F","II","TMSB4Y","TSS1500","shore","TSS1500-shore","chrY:15815488-15815779","","","Hyper"
"cg12941754",0.115747225537534,0.42027207254991,6.33936924521289,0.000291922179518868,0.0349555312454747,0.187669775260374,0.362398459781143,0.478145685318677,0.115747225537534,"2",242851406,"R","I","","IGR","opensea","IGR-opensea","","rs566957159;rs35905226","16;6","Hyper"
"cg25896894",0.103167110972194,0.526534599822732,6.30518413658504,0.0003022659539041,0.0353802002135381,0.149520995702447,0.474951044336635,0.578118155308828,0.103167110972194,"5",115968619,"F","I","","IGR","opensea","IGR-opensea","","rs727685;rs562039176;rs183056455;rs187513584","0;5;26;32","Hyper"
"cg14146491",-0.107853963514609,0.589797266555051,-6.29236326024046,0.000306249859914079,0.0355407046582689,0.135175835601648,0.643724248312356,0.535870284797746,-0.107853963514609,"7",1793263,"R","II","","IGR","opensea","IGR-opensea","","rs142733298;rs6460822;rs184300936","48;30;24","Hypo"
"cg12000297",0.132217139613806,0.832582831120755,5.81933180537877,0.000503342073014557,0.040923303872645,-0.408830370216795,0.766474261313853,0.898691400927658,0.132217139613805,"8",144824651,"F","II","","IGR","shore","IGR-shore","chr8:144822011-144822805","rs554294291;rs576927687;rs543441513","8;16;40","Hyper"
"cg21792760",0.104406054052422,0.5918415605711,5.66484691439635,0.000595588746283622,0.0431589140691827,-0.592883496061572,0.539638533544889,0.644044587597311,0.104406054052422,"2",219089616,"R","II","ARPC2","Body","opensea","Body-opensea","","rs9288536","2","Hyper"
"cg22499408",0.120134444951053,0.843691072997823,5.60191970706593,0.000638407442706011,0.0441920795078399,-0.668781683741701,0.783623850522296,0.90375829547335,0.120134444951053,"3",45814883,"R","II","SLC6A20","Body","opensea","Body-opensea","","rs554176778","50","Hyper"
"cg15935877",0.122259883256574,0.526382579085676,5.59777490494206,0.000641345079673872,0.0442586212704603,-0.673799825875871,0.465252637457389,0.587512520713963,0.122259883256574,"Y",9303715,"F","I","TSPY1","TSS1500","island","TSS1500-island","chrY:9303622-9303934","","","Hyper"
"cg19887462",0.186273221766331,0.75825833465633,5.59093711585012,0.000646224118466559,0.0443691197360508,-0.682083528932194,0.665121723773165,0.851394945539496,0.186273221766331,"3",48456716,"F","II","PLXNB1","Body","opensea","Body-opensea","","rs532773707;rs202071742","24;40","Hyper"
"cg21013536",0.255425435042032,0.227790776431071,5.56502729354161,0.00066508790473311,0.0447582195500895,-0.713530395161355,0.100078058910055,0.355503493952087,0.255425435042032,"X",12993248,"F","I","TMSB4X","1stExon","island","1stExon-island","chrX:12993107-12994599","","","Hyper"
"cg05062694",-0.156048265615744,0.670865940237712,-5.48819089051345,0.000724705280228227,0.0458860613272762,-0.807330354047608,0.748890073045584,0.59284180742984,-0.156048265615744,"2",27342324,"R","II","CGREF1","TSS1500","shore","TSS1500-shore","chr2:27341567-27341923","rs146438452","16","Hypo"
"cg14526044",0.103762429656513,0.664724412530927,5.4820383615982,0.000729728651961403,0.0460056881359144,-0.814876471820195,0.61284319770267,0.716605627359183,0.103762429656513,"Y",2802103,"R","II","ZFY","TSS1500","shore","TSS1500-shore","chrY:2802964-2804283","","","Hyper"
"cg12163448",0.104886545137852,0.279543255038622,5.34372496333033,0.000853459219514018,0.0483462939949272,-0.985908517684065,0.227099982469696,0.331986527607547,0.104886545137852,"2",170430473,"F","II","FASTKD1","TSS200","opensea","TSS200-opensea","","rs529135363","48","Hyper"
